symptoms,department
"groin pain, urine infection, back pain near kidneys, burning urination",Urologist
"pus near gum, broken tooth, toothache, pain while chewing",Dentist
"nausea, abdominal pain, indigestion, acidity",Gastroenterologist
"urinary urgency, kidney stone pain",Urologist
"lower abdominal pain urination, back pain near kidneys, night urination",Urologist
"mild fever, runny nose",General Physician
"shoulder pain, neck stiffness, arthritis",Orthopedic
"acidity, food poisoning, indigestion, loss of appetite",Gastroenterologist
"night urination, groin pain",Urologist
"tremor, tingling",Neurologist
"one sided weakness, tingling, confusion",Neurologist
"tingling, balance problem, blurred vision with headache",Neurologist
"throat infection, sinus pain, ear pain, vertigo",ENT
"runny nose, sore throat, allergic rhinitis",ENT
"groin pain, reduced urine flow, night urination",Urologist
"indigestion, vomiting, nausea, jaundice",Gastroenterologist
"gas, abdominal pain, food poisoning, blood in stool",Gastroenterologist
"abdominal swelling, night sweats, blood in stool, persistent bone pain",Oncologist
"frequent urination, back pain near kidneys, blood in urine",Urologist
"loss of voice, runny nose",ENT
"runny nose, chills, ",General Physician
"spotting, pcos symptoms, missed period",Gynecologist
"blurred vision with headache, tremor, seizure",Neurologist
"unexplained weight loss, persistent hoarseness, persistent cough",Oncologist
"dizziness, high blood pressure, sweating",Cardiologist
"baby constipation, blocked nose",Pediatrician
"postpartum bleeding, period cramps",Gynecologist
"difficulty seeing far, dry eyes, blurred vision, eye discharge",Ophthalmologist
"severe headache, migraine, dizziness",Neurologist
"flu, cough, fever",General Physician
"unexplained weight loss, blood in cough, persistent fatigue",Oncologist
"night urination, kidney stone pain, urinary urgency, difficulty starting urination",Urologist
"body ache, fever, flu",General Physician
"bleeding gums, bad breath, wisdom tooth pain, jaw pain",Dentist
"knee pain, swelling",Orthopedic
"dehydration, baby vomiting, child sore throat, child wheezing",Pediatrician
"bleeding while brushing, bad breath, swollen gums",Dentist
"hearing loss, runny nose, throat infection, ringing in ear",ENT
"bleeding while brushing, jaw pain, bleeding gums",Dentist
"numbness, memory loss",Neurologist
"red eye, eye pain",Ophthalmologist
"eye discharge, watering eyes",Ophthalmologist
"rapid heartbeat, chest pain",Cardiologist
